iter	RMSE
0	4.72603875
1	4.601512092
2	4.482582891
3	4.366787564
4	4.256344276
5	4.149592414
6	4.04476733
7	3.944430797
8	3.846809884
9	3.753547646
10	3.663301518
11	3.576286737
12	3.490151158
13	3.408061572
14	3.328246543
15	3.2518584
16	3.177379878
17	3.106993502
18	3.038460303
19	2.971610135
20	2.907826129
21	2.846402815
22	2.787155544
23	2.731156168
24	2.676391228
25	2.623801093
26	2.572948163
27	2.523916946
28	2.476906925
29	2.431474345
30	2.388074134
31	2.347084711
32	2.307726204
33	2.270350197
34	2.233837886
35	2.198592092
36	2.165132044
37	2.132811527
38	2.102064019
39	2.072810924
40	2.04474274
41	2.018502367
42	1.993471279
43	1.968810227
44	1.945165884
45	1.922875068
46	1.901592841
47	1.881027336
48	1.861697217
49	1.842714555
50	1.824755919
51	1.807965242
52	1.791773752
53	1.776671239
54	1.762244384
55	1.748583544
56	1.73538842
57	1.723242584
58	1.711267922
59	1.700451044
60	1.689692192
61	1.67940058
62	1.669550179
63	1.660257676
64	1.651354823
65	1.642779708
66	1.63444301
67	1.626977534
68	1.619883457
69	1.613096586
70	1.606463865
71	1.600217346
72	1.593927187
73	1.588493134
74	1.583267496
75	1.578055183
76	1.573279678
77	1.568724595
78	1.564403825
79	1.56023687
80	1.556234318
81	1.552426826
82	1.548843182
83	1.545666915
84	1.542405319
85	1.539548501
86	1.536699143
87	1.533980194
88	1.531245237
89	1.528578434
90	1.526345553
91	1.524132369
92	1.522105301
93	1.520141611
94	1.518358578
95	1.516624991
96	1.514981329
97	1.513425569
98	1.511876188
99	1.510408032
100	1.508912693
101	1.507509347
102	1.506222083
103	1.504972583
104	1.50373221
105	1.502365142
106	1.501145135
107	1.500024016
108	1.499050892
109	1.498095283
110	1.497159147
111	1.496268218
112	1.49539435
113	1.494437237
114	1.493697575
115	1.492962098
116	1.492188871
117	1.491632452
118	1.491028015
119	1.490434353
120	1.489883592
121	1.489318446
122	1.488752142
123	1.48828948
124	1.487801584
125	1.487284517
126	1.486833244
127	1.48641503
128	1.486082229
129	1.485702687
130	1.4853137
131	1.484891448
132	1.484487973
133	1.48414021
134	1.483735643
135	1.483348788
136	1.482950471
137	1.482644797
138	1.482306999
139	1.48207393
140	1.481824139
141	1.481501195
142	1.481088811
143	1.480880282
144	1.480631117
145	1.480383157
146	1.480074043
147	1.47988547
148	1.479677229
149	1.479449042
150	1.479214907
151	1.47901156
152	1.478821292
153	1.478539677
154	1.478289493
155	1.478115684
156	1.477907357
157	1.477780082
158	1.477524212
159	1.477405626
160	1.477192254
161	1.476991956
162	1.476802865
163	1.476654415
164	1.47655039
165	1.476340813
166	1.4762074
167	1.476074251
168	1.475971796
169	1.475760347
170	1.475657906
171	1.475483784
172	1.47538433
173	1.47522795
174	1.475124314
175	1.474965433
176	1.474879928
177	1.474782966
178	1.474665259
179	1.474573911
180	1.474466326
181	1.474366475
182	1.474185084
183	1.474112171
184	1.473955416
185	1.47385547
186	1.47378989
187	1.473664479
188	1.47359802
189	1.473537546
190	1.473368322
191	1.473313846
192	1.473206761
193	1.473115335
194	1.473035418
195	1.472923737
196	1.472842709
197	1.472768933
198	1.472618186
199	1.472464308
200	1.472364638
201	1.472326552
202	1.472271829
203	1.472186389
204	1.47210819
205	1.472002071
206	1.471878506
207	1.471782811
208	1.471667953
209	1.471584126
210	1.471490874
211	1.471433953
212	1.471370558
213	1.471281386
214	1.471207664
215	1.471152285
216	1.471080191
217	1.470970971
218	1.470936087
219	1.47086873
220	1.470784874
221	1.470741473
222	1.470697204
223	1.470627358
224	1.470536445
225	1.470452789
226	1.470348175
227	1.470301605
228	1.470207146
229	1.470162016
230	1.470086832
231	1.470009173
232	1.469960047
233	1.469875481
234	1.469818625
235	1.469743964
236	1.469715808
237	1.46966242
238	1.469582424
239	1.469533061
240	1.469497965
241	1.469462792
242	1.469385426
243	1.469349136
244	1.469287746
245	1.469241197
246	1.46920882
247	1.469117111
248	1.469081048
249	1.46903069
250	1.468941982
251	1.468898697
252	1.468840874
253	1.468810286
254	1.468806873
255	1.468760679
256	1.468715795
257	1.468679593
258	1.468614799
259	1.468571999
260	1.468529529
261	1.468446101
262	1.468411737
263	1.468375312
264	1.468341988
265	1.468284829
266	1.468222906
267	1.46816966
268	1.468145984
269	1.468123618
270	1.468069359
271	1.468032819
272	1.46800332
273	1.467950392
274	1.467909481
275	1.467859666
276	1.467828519
277	1.467769048
278	1.467739985
279	1.467717422
280	1.467692969
281	1.467646225
282	1.467623945
283	1.467587895
284	1.46754771
285	1.46751359
286	1.467479663
287	1.46743278
288	1.467390167
289	1.467363058
290	1.467324153
291	1.467223574
292	1.467172244
293	1.467134288
294	1.467100617
295	1.467070945
296	1.467029788
297	1.466984037
298	1.466938915
299	1.466915894
300	1.466869454
301	1.466807528
302	1.466764303
303	1.466721913
304	1.466680867
305	1.466615196
306	1.466589171
307	1.466544959
308	1.466510145
309	1.46646697
310	1.466430741
311	1.466397856
312	1.466365983
313	1.466314192
314	1.466298485
315	1.46625199
316	1.466223909
317	1.466171007
318	1.466139991
319	1.466108111
320	1.466063034
321	1.466039684
322	1.466024467
323	1.465985885
324	1.465958698
325	1.465873846
326	1.465841373
327	1.465816687
328	1.46578168
329	1.465745501
330	1.465736634
331	1.465717044
332	1.46566366
333	1.465644225
334	1.465614729
335	1.465589649
336	1.465574652
337	1.465555186
338	1.465508413
339	1.465478281
340	1.465449665
341	1.465421501
342	1.465395544
343	1.465366758
344	1.465327643
345	1.465307854
346	1.465260552
347	1.465215756
348	1.46520085
349	1.465153119
350	1.465124066
351	1.465104269
352	1.465087758
353	1.465054593
354	1.465014781
355	1.464982142
356	1.464938124
357	1.464898042
358	1.464859789
359	1.464827961
360	1.464801644
361	1.464766472
362	1.464730376
363	1.464698624
364	1.464678248
365	1.464611195
366	1.464580185
367	1.464557689
368	1.464539633
369	1.464516813
370	1.464492075
371	1.464447998
372	1.464387808
373	1.464366318
374	1.464346187
375	1.464324502
376	1.464283595
377	1.464266428
378	1.46424659
379	1.464187596
380	1.464152084
381	1.46413876
382	1.464112341
383	1.464077988
384	1.464038555
385	1.463997569
386	1.463947121
387	1.463930128
388	1.463889773
389	1.463846375
390	1.463802904
391	1.463769464
392	1.463754106
393	1.463705084
394	1.463681676
395	1.463664325
396	1.463632222
397	1.463599596
398	1.4635459
399	1.46352187
400	1.463485322
401	1.46341218
402	1.463380668
403	1.463349678
404	1.463327697
405	1.463268031
406	1.463250146
407	1.463215643
408	1.463165398
409	1.463128202
410	1.463108292
411	1.463085503
412	1.463046646
413	1.463030667
414	1.463009804
415	1.462977876
416	1.462965156
417	1.46292864
418	1.462887103
419	1.462861344
420	1.462823011
421	1.462783588
422	1.462754084
423	1.46271143
424	1.462662779
425	1.462627151
426	1.462593764
427	1.46256057
428	1.462530404
429	1.462510184
430	1.462479983
431	1.462442686
432	1.462413835
433	1.462378628
434	1.462360232
435	1.46234421
436	1.462316686
437	1.462298183
438	1.462276975
439	1.462253773
440	1.462232024
441	1.46221418
442	1.462187312
443	1.462161243
444	1.462132163
445	1.462114295
446	1.462081679
447	1.462049501
448	1.46202633
449	1.462009302
450	1.461979367
451	1.461956169
452	1.461932269
453	1.461915534
454	1.461887126
455	1.461875753
456	1.461815031
457	1.461780772
458	1.461752902
459	1.461707176
460	1.461679433
461	1.461636752
462	1.461606649
463	1.461581311
464	1.461557623
465	1.461534068
466	1.461520563
467	1.461505797
468	1.461475865
469	1.461449856
470	1.461429231
471	1.461399166
472	1.461376441
473	1.461357387
474	1.461339671
475	1.46130205
476	1.461285532
477	1.461252361
478	1.461212904
479	1.461197668
480	1.461170776
481	1.461151479
482	1.461122422
483	1.46110258
484	1.461084378
485	1.461053009
486	1.461019498
487	1.460998869
488	1.460988247
489	1.460966352
490	1.460948778
491	1.460926902
492	1.460900216
493	1.460871789
494	1.460848558
495	1.460824768
496	1.460802019
497	1.46077897
498	1.460736294
499	1.460698
500	1.460666891
501	1.460657189
502	1.460633014
503	1.460612058
504	1.460586947
505	1.460552269
506	1.46052282
507	1.460501294
508	1.460476009
509	1.460444019
510	1.460433731
511	1.460405052
512	1.460378045
513	1.46034961
514	1.460336089
515	1.460302509
516	1.460270447
517	1.460240267
518	1.460222653
519	1.460202893
520	1.460181028
521	1.460161787
522	1.460131029
523	1.460118667
524	1.460095474
525	1.460072087
526	1.460027852
527	1.460016858
528	1.460003157
529	1.459973104
530	1.459947467
531	1.459920538
532	1.459912886
533	1.459887792
534	1.459859888
535	1.459846706
536	1.459827994
537	1.459800348
538	1.459773751
539	1.459760627
540	1.459719575
541	1.45970026
542	1.459676503
543	1.459651566
544	1.459634459
545	1.459620685
546	1.459583097
547	1.45956953
548	1.459550191
549	1.459517847
550	1.459496262
551	1.45946396
552	1.459444301
553	1.459410994
554	1.45938508
555	1.459372209
556	1.459343604
557	1.45932295
558	1.459304633
559	1.459281294
560	1.45926569
561	1.459253199
562	1.459238885
563	1.459203176
564	1.459180711
565	1.459147882
566	1.459134043
567	1.459118887
568	1.459093203
569	1.459054744
570	1.4590362
571	1.459014838
572	1.458983688
573	1.458964003
574	1.458929387
575	1.458896725
576	1.458880222
577	1.458852268
578	1.458815175
579	1.458803262
580	1.458774609
581	1.458754688
582	1.458731455
583	1.458714283
584	1.4586965
585	1.458684185
586	1.458674054
587	1.458654055
588	1.458633928
589	1.458609315
590	1.458587757
591	1.458577149
592	1.458552521
593	1.458527002
594	1.458506674
595	1.458491503
596	1.45848051
597	1.458459512
598	1.458427993
599	1.458399001
600	1.458378299
601	1.4583648
602	1.458345298
603	1.458323111
604	1.458298628
605	1.458278488
606	1.458258946
607	1.458233242
608	1.458207903
609	1.458194988
610	1.45816701
611	1.458137693
612	1.45812182
613	1.458094758
614	1.458079005
615	1.458064595
616	1.458041404
617	1.458022817
618	1.458000162
619	1.45798718
620	1.457963556
621	1.457941058
622	1.457935629
623	1.457919513
624	1.457908462
625	1.457883371
626	1.457866068
627	1.457851849
628	1.457825743
629	1.45780666
630	1.4577906
631	1.4577739
632	1.4577531
633	1.457735068
634	1.457705838
635	1.457688744
636	1.45766894
637	1.457644865
638	1.457618708
639	1.457594992
640	1.457578368
641	1.457555605
642	1.457538516
643	1.45752153
644	1.457496951
645	1.457479377
646	1.457466305
647	1.457443162
648	1.457417182
649	1.457404678
650	1.457375204
651	1.457354706
652	1.457335458
653	1.457309781
654	1.457276406
655	1.457253425
656	1.457240186
657	1.457219491
658	1.457203165
659	1.457182492
660	1.457164089
661	1.457145926
662	1.457132667
663	1.457111242
664	1.457079919
665	1.457059693
666	1.457047492
667	1.457032584
668	1.45700712
669	1.456986002
670	1.456966441
671	1.456954836
672	1.456928641
673	1.456911225
674	1.456887294
675	1.456862426
676	1.456843947
677	1.4568251
678	1.456803405
679	1.456768993
680	1.45675376
681	1.456742253
682	1.456723112
683	1.456712663
684	1.456697691
685	1.456681685
686	1.456663773
687	1.456643116
688	1.456634862
689	1.456612399
690	1.456594809
691	1.456579344
692	1.456563607
693	1.456546346
694	1.456534606
695	1.456515307
696	1.456491809
697	1.456479208
698	1.456468133
699	1.456446015
700	1.45640577
701	1.456379677
702	1.456362379
703	1.456341082
704	1.456322431
705	1.456302507
706	1.456282233
707	1.456261511
708	1.456247357
709	1.456232168
710	1.456217426
711	1.456209522
712	1.456193378
713	1.456180608
714	1.456171407
715	1.456153135
716	1.45614314
717	1.456133595
718	1.456113948
719	1.456099173
720	1.456079743
721	1.456061812
722	1.456040584
723	1.456021464
724	1.45600813
725	1.455985552
726	1.455976187
727	1.455953875
728	1.455935272
729	1.45592401
730	1.455907672
731	1.455893668
732	1.455877757
733	1.455855814
734	1.455837727
735	1.455819806
736	1.45579936
737	1.455790631
738	1.455767048
739	1.455753334
740	1.455736703
741	1.455725752
742	1.455713862
743	1.455695369
744	1.45568408
745	1.455649679
746	1.455639072
747	1.455610543
748	1.455587569
749	1.455571923
750	1.455559261
751	1.455546838
752	1.455530885
753	1.455517407
754	1.455498834
755	1.455476082
756	1.455462605
757	1.455449821
758	1.455433906
759	1.455417537
760	1.455390837
761	1.455375847
762	1.455369008
763	1.455352368
764	1.45532576
765	1.455300763
766	1.455276855
767	1.455260092
768	1.455246882
769	1.455230796
770	1.455204968
771	1.455182302
772	1.455169519
773	1.455156259
774	1.455137408
775	1.455111281
