iter	Passed	Remaining
0	57	57504
1	64	32375
2	74	24711
3	81	20297
4	88	17527
5	95	15893
6	105	14980
7	112	13934
8	119	13109
9	125	12456
10	132	11904
11	140	11529
12	148	11254
13	165	11652
14	174	11444
15	185	11410
16	191	11060
17	198	10843
18	204	10545
19	210	10290
20	216	10090
21	222	9879
22	229	9731
23	237	9667
24	243	9491
25	248	9323
26	256	9258
27	268	9336
28	278	9328
29	287	9304
30	297	9300
31	307	9298
32	323	9470
33	328	9343
34	334	9233
35	342	9176
36	353	9193
37	364	9217
38	369	9107
39	375	9014
40	382	8945
41	387	8845
42	395	8792
43	403	8776
44	409	8688
45	415	8609
46	421	8554
47	430	8537
48	436	8466
49	441	8394
50	447	8326
51	452	8256
52	461	8252
53	467	8193
54	485	8335
55	497	8383
56	507	8403
57	518	8420
58	526	8395
59	531	8326
60	537	8270
61	545	8246
62	553	8236
63	561	8214
64	568	8183
65	574	8127
66	580	8077
67	588	8064
68	596	8046
69	602	8005
70	608	7956
71	613	7910
72	619	7864
73	626	7836
74	631	7791
75	646	7854
76	651	7813
77	661	7813
78	670	7811
79	681	7842
80	693	7867
81	704	7883
82	711	7864
83	723	7891
84	731	7876
85	740	7872
86	749	7870
87	757	7849
88	763	7820
89	769	7781
90	774	7737
91	780	7699
92	786	7674
93	792	7636
94	799	7611
95	814	7667
96	826	7697
97	838	7720
98	846	7707
99	852	7676
100	858	7643
101	866	7625
102	874	7613
103	885	7630
104	892	7610
105	904	7627
106	917	7659
107	923	7627
108	928	7592
109	936	7579
110	954	7645
111	975	7731
112	985	7732
113	992	7714
114	1003	7720
115	1011	7709
116	1020	7704
117	1026	7673
118	1033	7651
119	1038	7617
120	1048	7619
121	1054	7591
122	1062	7572
123	1068	7545
124	1076	7532
125	1086	7533
126	1094	7522
127	1103	7514
128	1111	7506
129	1119	7494
130	1132	7511
131	1139	7496
132	1150	7497
133	1162	7511
134	1168	7487
135	1173	7458
136	1179	7427
137	1184	7401
138	1191	7382
139	1197	7354
140	1203	7333
141	1213	7334
142	1219	7306
143	1224	7280
144	1231	7259
145	1240	7258
146	1246	7232
147	1257	7238
148	1269	7249
149	1276	7231
150	1282	7212
151	1293	7216
152	1298	7190
153	1304	7166
154	1310	7141
155	1318	7130
156	1326	7121
157	1333	7105
158	1338	7080
159	1343	7055
160	1349	7032
161	1355	7013
162	1361	6988
163	1375	7010
164	1380	6987
165	1385	6963
166	1392	6945
167	1402	6943
168	1410	6934
169	1418	6926
170	1424	6903
171	1429	6882
172	1437	6873
173	1444	6857
174	1456	6866
175	1463	6850
176	1473	6850
177	1485	6861
178	1494	6854
179	1502	6843
180	1507	6821
181	1514	6808
182	1522	6797
183	1532	6794
184	1538	6779
185	1543	6757
186	1549	6738
187	1557	6728
188	1565	6717
189	1571	6699
190	1576	6678
191	1581	6657
192	1587	6637
193	1593	6619
194	1599	6602
195	1605	6586
196	1613	6577
197	1619	6560
198	1624	6540
199	1630	6523
200	1639	6515
201	1645	6501
202	1661	6523
203	1670	6516
204	1677	6506
205	1683	6488
206	1693	6487
207	1699	6472
208	1705	6454
209	1711	6436
210	1718	6427
211	1727	6420
212	1733	6403
213	1738	6384
214	1743	6366
215	1749	6348
216	1755	6333
217	1760	6315
218	1767	6303
219	1775	6295
220	1781	6280
221	1787	6263
222	1792	6245
223	1800	6238
224	1809	6232
225	1822	6242
226	1828	6225
227	1833	6207
228	1839	6193
229	1846	6180
230	1855	6176
231	1864	6171
232	1872	6164
233	1881	6158
234	1889	6150
235	1894	6134
236	1900	6117
237	1905	6100
238	1910	6084
239	1917	6071
240	1922	6055
241	1929	6044
242	1937	6037
243	1943	6021
244	1948	6005
245	1954	5990
246	1962	5982
247	1980	6004
248	1988	5995
249	1993	5981
250	2000	5969
251	2007	5958
252	2016	5952
253	2021	5936
254	2024	5915
255	2032	5908
256	2040	5899
257	2048	5891
258	2055	5879
259	2065	5879
260	2072	5867
261	2080	5861
262	2088	5852
263	2097	5846
264	2103	5832
265	2111	5826
266	2120	5820
267	2128	5812
268	2138	5810
269	2143	5794
270	2148	5780
271	2154	5765
272	2160	5754
273	2167	5742
274	2176	5738
275	2182	5725
276	2187	5710
277	2193	5696
278	2201	5687
279	2209	5680
280	2214	5666
281	2220	5653
282	2225	5638
283	2231	5624
284	2237	5613
285	2242	5599
286	2250	5590
287	2257	5580
288	2265	5573
289	2276	5574
290	2287	5574
291	2304	5586
292	2315	5586
293	2323	5578
294	2329	5568
295	2345	5578
296	2355	5574
297	2364	5569
298	2377	5574
299	2390	5578
300	2403	5582
301	2424	5603
302	2437	5606
303	2451	5612
304	2468	5625
305	2482	5630
306	2505	5654
307	2519	5661
308	2539	5677
309	2547	5669
310	2554	5659
311	2567	5661
312	2581	5667
313	2590	5658
314	2604	5663
315	2622	5676
316	2632	5671
317	2646	5676
318	2660	5679
319	2669	5673
320	2678	5665
321	2692	5669
322	2697	5654
323	2708	5651
324	2714	5637
325	2720	5625
326	2726	5610
327	2732	5599
328	2742	5592
329	2747	5578
330	2752	5563
331	2759	5551
332	2771	5550
333	2783	5549
334	2788	5535
335	2793	5521
336	2801	5512
337	2807	5497
338	2820	5499
339	2825	5485
340	2836	5480
341	2848	5480
342	2853	5466
343	2860	5454
344	2868	5445
345	2873	5431
346	2881	5423
347	2891	5416
348	2900	5410
349	2907	5399
350	2917	5394
351	2926	5386
352	2933	5376
353	2946	5377
354	2952	5364
355	2957	5350
356	2965	5340
357	2971	5328
358	2981	5323
359	2986	5310
360	2992	5296
361	2997	5283
362	3006	5275
363	3012	5262
364	3017	5249
365	3022	5236
366	3028	5223
367	3034	5210
368	3040	5199
369	3046	5186
370	3056	5182
371	3065	5175
372	3072	5165
373	3081	5157
374	3090	5150
375	3097	5140
376	3107	5135
377	3113	5122
378	3120	5113
379	3126	5101
380	3135	5093
381	3145	5088
382	3152	5078
383	3159	5068
384	3168	5062
385	3177	5054
386	3187	5048
387	3193	5036
388	3200	5027
389	3206	5015
390	3216	5009
391	3225	5002
392	3231	4990
393	3237	4978
394	3247	4974
395	3258	4970
396	3268	4963
397	3273	4951
398	3281	4943
399	3289	4933
400	3298	4927
401	3304	4915
402	3312	4907
403	3320	4898
404	3327	4888
405	3334	4878
406	3339	4865
407	3344	4853
408	3349	4840
409	3355	4828
410	3361	4817
411	3366	4805
412	3379	4803
413	3384	4791
414	3391	4780
415	3397	4769
416	3406	4762
417	3413	4752
418	3421	4743
419	3428	4734
420	3433	4721
421	3440	4712
422	3446	4700
423	3458	4697
424	3466	4689
425	3474	4681
426	3486	4678
427	3499	4676
428	3507	4668
429	3514	4658
430	3522	4650
431	3530	4642
432	3539	4635
433	3545	4623
434	3550	4612
435	3556	4600
436	3565	4594
437	3573	4584
438	3580	4575
439	3585	4563
440	3591	4552
441	3598	4542
442	3603	4530
443	3614	4526
444	3622	4517
445	3629	4507
446	3647	4512
447	3660	4509
448	3670	4504
449	3683	4501
450	3701	4505
451	3720	4510
452	3738	4514
453	3748	4508
454	3762	4507
455	3783	4513
456	3798	4513
457	3819	4519
458	3841	4528
459	3862	4534
460	3874	4530
461	3883	4522
462	3910	4535
463	3927	4537
464	3941	4534
465	3947	4524
466	3959	4519
467	3973	4517
468	3980	4506
469	3989	4498
470	3995	4487
471	4001	4476
472	4006	4464
473	4014	4455
474	4025	4448
475	4035	4442
476	4043	4433
477	4051	4424
478	4059	4415
479	4066	4405
480	4072	4394
481	4080	4385
482	4087	4375
483	4098	4369
484	4103	4357
485	4109	4346
486	4115	4335
487	4127	4330
488	4132	4318
489	4141	4310
490	4146	4298
491	4151	4287
492	4159	4277
493	4164	4265
494	4176	4260
495	4183	4250
496	4189	4239
497	4195	4229
498	4208	4224
499	4215	4215
500	4222	4205
501	4228	4195
502	4243	4192
503	4263	4195
504	4292	4207
505	4308	4205
506	4315	4196
507	4347	4210
508	4370	4216
509	4383	4211
510	4395	4206
511	4408	4202
512	4423	4199
513	4434	4193
514	4453	4193
515	4460	4184
516	4483	4188
517	4501	4188
518	4509	4178
519	4521	4173
520	4534	4169
521	4548	4165
522	4554	4154
523	4562	4144
524	4570	4135
525	4579	4126
526	4584	4115
527	4590	4103
528	4595	4091
529	4604	4082
530	4611	4072
531	4616	4061
532	4621	4049
533	4627	4038
534	4632	4026
535	4638	4015
536	4644	4004
537	4651	3994
538	4664	3989
539	4674	3982
540	4689	3978
541	4697	3969
542	4705	3960
543	4727	3962
544	4741	3958
545	4755	3954
546	4781	3959
547	4889	4032
548	4907	4031
549	4927	4031
550	4941	4026
551	4957	4023
552	4977	4023
553	5002	4027
554	5030	4033
555	5042	4026
556	5050	4016
557	5063	4010
558	5069	3999
559	5079	3991
560	5088	3982
561	5096	3972
562	5130	3981
563	5149	3980
564	5155	3969
565	5161	3957
566	5167	3946
567	5173	3934
568	5179	3923
569	5192	3917
570	5198	3905
571	5205	3894
572	5213	3885
573	5225	3878
574	5236	3870
575	5247	3862
576	5261	3857
577	5279	3854
578	5308	3860
579	5325	3856
580	5354	3861
581	5365	3853
582	5377	3846
583	5391	3840
584	5408	3837
585	5432	3837
586	5441	3828
587	5455	3822
588	5471	3817
589	5485	3812
590	5509	3813
591	5521	3805
592	5538	3801
593	5550	3793
594	5560	3784
595	5570	3776
596	5579	3766
597	5598	3763
598	5606	3753
599	5615	3743
600	5625	3735
601	5633	3724
602	5639	3712
603	5645	3701
604	5653	3691
605	5661	3680
606	5671	3672
607	5678	3661
608	5686	3650
609	5699	3643
610	5723	3643
611	5738	3638
612	5757	3634
613	5765	3624
614	5780	3618
615	5793	3611
616	5817	3611
617	5836	3607
618	5848	3599
619	5864	3594
620	5883	3590
621	5895	3582
622	5900	3570
623	5932	3574
624	5952	3571
625	5966	3564
626	5979	3557
627	5995	3551
628	6001	3539
629	6014	3532
630	6032	3527
631	6037	3515
632	6043	3503
633	6048	3491
634	6054	3480
635	6060	3468
636	6072	3460
637	6078	3448
638	6084	3437
639	6091	3426
640	6100	3416
641	6107	3405
642	6113	3394
643	6119	3382
644	6128	3372
645	6138	3363
646	6152	3356
647	6158	3345
648	6170	3337
649	6199	3338
650	6218	3333
651	6239	3330
652	6252	3322
653	6265	3314
654	6282	3309
655	6291	3298
656	6310	3294
657	6320	3285
658	6350	3286
659	6362	3277
660	6375	3269
661	6392	3263
662	6409	3257
663	6427	3252
664	6437	3242
665	6444	3231
666	6458	3224
667	6471	3216
668	6477	3204
669	6489	3196
670	6499	3186
671	6508	3176
672	6518	3167
673	6525	3156
674	6531	3144
675	6537	3133
676	6551	3125
677	6558	3114
678	6566	3104
679	6575	3094
680	6585	3084
681	6595	3075
682	6602	3064
683	6618	3057
684	6633	3050
685	6644	3041
686	6658	3033
687	6679	3029
688	6696	3022
689	6712	3015
690	6725	3007
691	6746	3002
692	6766	2997
693	6781	2990
694	6796	2982
695	6810	2974
696	6836	2971
697	6851	2964
698	6872	2959
699	6878	2947
700	6892	2939
701	6904	2930
702	6911	2919
703	6918	2908
704	6925	2897
705	6930	2886
706	6935	2874
707	6948	2865
708	6954	2854
709	6960	2843
710	6968	2832
711	6980	2823
712	6987	2812
713	6995	2802
714	7000	2790
715	7006	2779
716	7011	2767
717	7020	2757
718	7028	2746
719	7034	2735
720	7039	2724
721	7045	2712
722	7052	2702
723	7060	2691
724	7065	2680
725	7072	2669
726	7077	2657
727	7085	2647
728	7090	2635
729	7098	2625
730	7106	2615
731	7112	2603
732	7117	2592
733	7124	2581
734	7134	2572
735	7151	2565
736	7164	2556
737	7172	2546
738	7183	2537
739	7194	2527
740	7200	2516
741	7214	2508
742	7221	2497
743	7232	2488
744	7267	2487
745	7284	2480
746	7316	2478
747	7329	2469
748	7348	2462
749	7361	2453
750	7380	2446
751	7396	2439
752	7414	2432
753	7425	2422
754	7438	2413
755	7456	2406
756	7468	2397
757	7486	2390
758	7500	2381
759	7507	2370
760	7520	2361
761	7529	2351
762	7536	2340
763	7544	2330
764	7550	2319
765	7556	2308
766	7565	2298
767	7572	2287
768	7583	2278
769	7590	2267
770	7598	2256
771	7606	2246
772	7618	2237
773	7624	2226
774	7630	2215
775	7636	2204
776	7642	2193
777	7648	2182
778	7657	2172
779	7662	2161
780	7669	2150
781	7676	2139
782	7684	2129
783	7691	2118
784	7698	2108
785	7705	2098
786	7713	2087
787	7719	2076
788	7725	2066
789	7735	2056
790	7741	2045
791	7751	2035
792	7764	2026
793	7781	2018
794	7787	2008
795	7799	1998
796	7815	1990
797	7831	1982
798	7849	1974
799	7867	1966
800	7885	1959
801	7902	1951
802	7931	1945
803	7947	1937
804	7964	1929
805	7981	1921
806	7995	1912
807	8010	1903
808	8022	1894
809	8031	1884
810	8045	1875
811	8061	1866
812	8074	1857
813	8095	1849
814	8103	1839
815	8109	1828
816	8115	1817
817	8121	1806
818	8129	1796
819	8139	1786
820	8146	1776
821	8156	1766
822	8168	1756
823	8175	1746
824	8182	1735
825	8189	1725
826	8198	1714
827	8204	1704
828	8212	1693
829	8218	1683
830	8223	1672
831	8230	1661
832	8236	1651
833	8250	1642
834	8255	1631
835	8261	1620
836	8267	1610
837	8273	1599
838	8278	1588
839	8287	1578
840	8294	1568
841	8299	1557
842	8305	1546
843	8312	1536
844	8321	1526
845	8328	1515
846	8334	1505
847	8341	1495
848	8350	1485
849	8355	1474
850	8367	1464
851	8373	1454
852	8381	1444
853	8389	1434
854	8396	1424
855	8409	1414
856	8416	1404
857	8422	1394
858	8428	1383
859	8433	1372
860	8441	1362
861	8448	1352
862	8453	1342
863	8460	1331
